node_id,lon,lat,degree
N00799,126.942434,37.603822,3
N00800,126.942111,37.603579,3
N00801,126.952741,37.605303,3
N00802,126.952731,37.605914,3
N00803,126.953135,37.605547,3
N00804,126.953434,37.603998,3
N00805,126.95264,37.60679,3
N00806,126.941679,37.603921,1
N00807,126.948064,37.607849,3
N00808,126.94684,37.608565,1
N00809,126.947797,37.607607,3
N00810,126.947913,37.607582,3
N00811,126.943542,37.603544,3
N00812,126.943496,37.604102,4
N00813,126.943103,37.60383,3
N00814,126.947913,37.607706,4
N00815,126.943391,37.603894,3
N00816,126.943523,37.602679,1
N00817,126.944987,37.604864,1
N00818,126.945712,37.605786,1
N00819,126.942954,37.604841,1
N00820,126.943526,37.604367,3
N00821,126.940919,37.602965,1
N00822,126.945612,37.600883,1
N00823,126.944525,37.604769,1
N00824,126.941569,37.603634,1
N00825,126.946301,37.607092,1
N00826,126.947067,37.60775,1
N00827,126.948582,37.608117,3
N00828,127.049834,37.440027,2
N00829,127.043818,37.404136,3
N00830,127.043053,37.404943,4
N00831,127.088029,37.445044,2
N00832,127.072232,37.430696,1
N00833,127.031214,37.379442,2
N00834,127.033868,37.388828,3
N00835,127.043964,37.428243,2
N00836,127.047375,37.430822,3
N00837,127.041797,37.426885,2
N00838,127.042842,37.42795,3
N00839,127.042407,37.419856,3
N00840,127.042148,37.420502,2
N00841,127.072074,37.422573,3
N00842,127.075664,37.422175,1
N00843,127.072339,37.424437,1
N00844,127.063439,37.422234,3
N00845,127.071372,37.428725,1
N00846,127.068181,37.427835,1
N00847,127.059381,37.429446,3
N00848,127.042675,37.41971,3
N00849,127.046794,37.413709,3
N00850,127.048003,37.413712,3
N00851,127.041722,37.415693,3
N00852,127.03777,37.413794,3
N00853,127.031931,37.413109,3
N00854,127.029563,37.373063,1
N00855,127.04178,37.435867,3
N00856,127.041865,37.423044,3
N00857,127.041711,37.423656,4
N00858,127.041755,37.416914,3
N00859,127.043251,37.436134,3
N00860,127.032855,37.435576,3
N00861,127.035847,37.439199,3
N00862,127.035535,37.441263,3
N00863,127.036642,37.451509,3
N00864,127.039219,37.458002,1
N00865,127.035747,37.457395,1
N00866,127.055865,37.396008,3
N00867,127.057546,37.392809,1
N00868,127.054765,37.393402,1
N00869,127.053611,37.402574,3
N00870,127.070343,37.407938,1
N00871,127.037603,37.393247,3
